id,name,followers,popularity,new_genre
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,21030579,90,Pop
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,21030579,90,Rap
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,21030579,90,Hiphop
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,21003860,90,Pop
1RyvyyTE3xzB2ZywiAwp0i,Future,10118100,91,Hiphop
1RyvyyTE3xzB2ZywiAwp0i,Future,10118100,91,Rap
1RyvyyTE3xzB2ZywiAwp0i,Future,10118100,91,Trap
329e4yvIujISKGKz1BZZbO,Farruko,9843814,91,Latino
329e4yvIujISKGKz1BZZbO,Farruko,9843814,91,Trap
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,33750665,90,Rock
64KEffDW9EtZ1y2vBYgq8T,Marshmello,30322350,88,House
64KEffDW9EtZ1y2vBYgq8T,Marshmello,30322350,88,Pop
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,32526501,89,Pop
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,42340613,92,Pop
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,42340613,92,Hiphop
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,19255863,88,Pop
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,19255863,88,Rock
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,29822443,89,Rock
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,29822443,89,Pop
2wY79sveU1sp5g7SokKOiI,Sam Smith,16199001,88,Pop
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,7596016,86,Pop
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,21156667,85,Pop
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,26808434,89,Pop
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,6297686,92,Pop
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,6297686,92,Rap
23fqKkggKUBHNkbKtXEls4,Kygo,7380824,86,House
23fqKkggKUBHNkbKtXEls4,Kygo,7380824,86,Pop
